0.96,1.76,1.3,0.34,0.27
2.36,0.9,0.69,0.84,0.79
1.57,6.39,5.02,0.53,0.38
2.36,0.9,0.69,0.84,0.8
3.49,7.42,5.5,0.87,0.71
7.86,8.37,6.74,1.8,1.54
5.58,3.56,2.68,1.26,1.17
7.89,8.76,6.74,1.8,1.54
5.58,3.56,2.68,1.26,1.18
2.46,1.03,0.81,0.72,0.88
5.58,3.56,2.68,1.26,1.18
5.52,3.47,2.61,1.22,1.16
0.09,0.09,0.06,0.07,0.02
5.5,3.46,2.61,1.23,1.16
5.79,12.14,9.92,1.53,1.33
5.5,3.46,2.61,1.23,1.16
0.05,0.09,0.08,0.1,0.02
5.5,3.47,2.61,1.22,1.16
0.13,0.19,0.16,0.18,0.11
5.71,3.56,2.67,1.26,1.19
0.96,0.33,0.24,0.26,0.23
1.45,0.69,0.53,0.37,0.33
33.12,17.92,13.82,7.52,6.7
0.11,0.14,0.13,0.14,0.08
9.23,5.3,3.99,2.02,1.83
0.13,0.17,0.15,0.17,0.09
9.15,5.22,3.93,2,1.81
0.17,0.23,0.2,0.23,0.09
9.23,5.3,3.99,2.02,1.83
0.14,0.2,0.17,0.19,0.11
9.24,5.3,3.99,2.02,1.83
0.13,0.18,0.16,0.18,0.09
9.24,5.3,3.99,2.02,1.83
0.19,0.26,0.23,0.25,0.12
9.23,5.3,3.99,2.02,1.83
0.2,0.28,0.25,0.27,0.13
9.23,5.3,3.99,2.02,1.83
0.24,0.33,0.3,0.33,0.17
0.23,0.32,0.28,0.31,0.14
0.45,1.35,1.22,1.33,0.15
0.38,0.35,0.26,0.22,0.08
2.47,2.76,2,0.88,0.72
0.36,0.44,0.35,0.33,0.29
0.82,1.09,0.82,0.28,0.2
0.34,0.41,0.33,0.31,0.28
0.58,1.57,1.31,1.29,0.49
0.34,0.41,0.33,0.31,0.28
0.99,9.5,7.38,0.91,0.38
0.03,0.07,0.06,0.08,0.01
5.5,4.34,3.35,1.41,1.41
304.17,110.2,87.56,112.29,106.03
0.5,1.89,1.51,1.25,0.32
158.94,59.86,48.07,60.17,56.02
0.15,0.15,0.12,0.12,0.05
310.05,111.61,88.63,112.28,105.86
2.03,2.39,1.75,0.58,0.63
252.35,95.4,76.99,95.28,90.56
0.1,0.16,0.13,0.14,0.04
165.17,64.58,53.64,66.45,61
0.58,1.59,1.32,1.32,0.49
44,16.35,13.26,16.98,15.8
0.08,0.06,0.04,0.06,0.03
607.2,236.28,192.06,240.74,230.57
0.02,0.05,0.04,0.06,0.01
48.72,19.79,16.99,20.4,18.36
2.87,2.33,1.7,0.95,0.92
83,32.03,25.98,32.85,30.76
0.38,0.16,0.11,0.13,0.11
419.44,153.3,123.9,154.83,147.98
1.58,1.88,1.48,0.49,0.36
0.42,1.61,1.32,1.34,0.31
0.67,0.46,0.32,0.23,0.18
0.68,0.88,0.67,0.38,0.23
0.66,0.46,0.32,0.23,0.19
0.03,0.08,0.07,0.07,0.02
0.02,0.06,0.04,0.05,0.01
0.11,0.19,0.15,0.13,0.04
3.52,3.12,2.29,1.26,1.04
0.21,0.54,0.42,0.38,0.08
3.92,6.82,5.47,0.91,0.78
0.44,1.68,1.35,1.24,0.3
4.07,12.25,10.27,0.9,0.78
0.65,0.83,0.63,0.37,0.23
21.21,7.97,7,4.67,4.27
0.13,0.23,0.18,0.19,0.04
24.58,9.21,7.96,4.97,4.57
3.5,4.01,3.12,1.12,1
20.87,6.9,5.74,4.34,3.69
0.22,0.19,0.14,0.11,0.06
12.57,13.77,10.9,3.08,2.92
0.65,0.83,0.64,0.37,0.24
9.75,18.33,14.72,2.49,2.1
3.27,1.34,1.01,1.03,0.77
6.21,18.64,14.12,1.53,1.24
2.96,2.07,1.67,1.28,0.91
19.57,7.48,6.93,5.76,5.53
4.21,1.31,1.05,1.22,0.94
20.93,5.15,4.15,4.4,3.69
8.59,7.7,6,1.93,1.91
10.34,4.43,3.5,2.05,1.64
1.04,1.27,2.57,0.92,3.47
13.15,7.24,5.78,2.66,2.12
0.21,0.2,0.16,0.19,0.13
13.92,5.09,4.08,3.14,2.63
1.98,3.33,4.09,2.73,9.63
8.24,3.03,2.72,1.53,1.38
0.84,3.56,2.76,0.39,0.22
9.98,2.42,2,2.45,2.18
20.24,10.27,7.61,8.67,4.82
3.24,2.45,1.91,0.82,0.66
0.08,0.07,0.06,0.07,0.04
3.85,2.91,2.27,0.94,0.76
22.79,7,5.96,5.39,4.95
0.02,0.06,0.05,0.06,0.01
0.2,0.3,0.26,0.32,0.11
1.73,0.62,0.45,0.57,0.63
0.2,0.3,0.26,0.32,0.11
1.72,0.62,0.45,0.57,0.63
0.18,0.24,0.21,0.26,0.11
10.4,2.86,2.18,2.39,2.59
0.62,0.91,0.72,0.76,0.71
8.65,2.95,2.74,3.24,3
20.85,11.07,7.72,8.72,3.74
1.48,2.29,1.67,1.59,1.58
0.94,1.28,1.17,1.48,0.33
4.31,1.7,1.34,1.66,1.38
0.05,0.08,0.07,0.09,0.02
9.37,5.49,3.99,4.56,2.27
0.04,0.08,0.07,0.09,0.02
18.95,11.46,8.22,9.2,4.33
0.11,0.23,0.21,0.24,0.05
7.87,8.37,6.85,1.78,1.51
0.23,0.53,0.49,0.54,0.11
2.57,0.9,0.69,0.84,0.79
125.39,63.05,45.84,52.19,25.95
2.4,0.98,0.78,0.73,0.9
38.86,12.19,9.18,10.41,5.78
0.03,0.05,0.03,0.04,0.02
0.14,0.18,0.16,0.17,0.05
4.09,5.68,4.42,0.99,0.81
0.15,0.25,0.23,0.26,0.07
0.15,0.07,0.04,0.07,0.04
0.16,0.21,0.19,0.21,0.06
0.04,0.05,0.04,0.05,0.02
0.17,0.29,0.26,0.3,0.08
0.04,0.05,0.04,0.05,0.02
0.4,0.24,0.2,0.2,0.15
0.04,0.05,0.04,0.05,0.02
85.87,30.78,23.48,26.27,14.43
0.04,0.06,0.04,0.05,0.02
0.14,0.18,0.16,0.17,0.05
0.04,0.06,0.04,0.06,0.02
3.85,4.19,3.19,0.96,0.85
0.05,0.07,0.06,0.07,0.03
1.23,3.21,2.47,0.47,0.32
0.06,0.08,0.07,0.08,0.04
1.58,3.29,2.54,0.52,0.43
0.06,0.08,0.07,0.08,0.04
1.23,3.16,2.43,0.47,0.33
0.07,0.09,0.07,0.09,0.05
1.23,3.15,2.44,0.47,0.33
0.07,0.09,0.08,0.1,0.05
4.55,1.53,1.18,1.37,1.09
0.07,0.09,0.08,0.1,0.04
4.27,2.04,1.64,1.92,1.92
0.18,0.65,0.52,0.4,0.11
0.18,0.66,0.52,0.4,0.11
0.19,0.65,0.52,0.4,0.11
0.09,0.12,0.1,0.12,0.07
0.18,0.66,0.52,0.4,0.11
0.09,0.12,0.11,0.13,0.06
0.18,0.65,0.52,0.4,0.11
0.09,0.11,0.1,0.12,0.04
0.11,0.16,0.13,0.16,0.06
0.13,0.17,0.14,0.16,0.07
2.52,0.95,0.9,0.82,0.69
0.15,0.19,0.17,0.19,0.09
0.04,0.06,0.05,0.07,0.01
0.95,1.23,1.12,1.24,0.52
2.54,0.97,0.98,0.93,0.77
0.11,0.15,0.13,0.16,0.07
0.04,0.06,0.05,0.07,0.01
0.14,0.19,0.16,0.19,0.09
5.07,2.03,2.33,3.03,2.16
0.12,0.17,0.15,0.18,0.06
0.04,0.06,0.05,0.07,0.01
0.2,0.47,0.44,0.49,0.11
5.36,2.28,2.49,3.26,2.25
26.89,14.26,10.95,7.86,6.73
0.04,0.06,0.05,0.07,0.01
0.51,0.5,0.38,0.23,0.12
5.15,2.2,2.31,3.18,2.22
0.05,0.07,0.07,0.08,0.02
0.69,0.87,0.66,0.39,0.23
0.68,0.87,0.66,0.39,0.23
